stid,seqNum,latitude,longitude,time,behavior
2557549,228,35.21656,-80.93127,2025-04-12 11:25:59+00:00,1
2557549,104,35.21656,-80.93127,2025-04-12 11:26:00+00:00,1
2557549,241,35.21656,-80.93127,2025-04-12 11:26:01+00:00,1
2557549,120,35.21656,-80.93127,2025-04-12 11:26:02+00:00,1
2557549,254,35.21656,-80.93127,2025-04-12 11:26:03+00:00,1
2557549,180,35.21656,-80.93127,2025-04-12 11:38:41+00:00,1
2557549,72,35.21656,-80.93127,2025-04-12 11:38:42+00:00,1
2557549,234,35.21656,-80.93127,2025-04-12 11:38:43+00:00,1
2557549,143,35.21656,-80.93127,2025-04-12 11:38:44+00:00,1
2557549,32,35.21656,-80.93127,2025-04-12 11:38:45+00:00,1
2557549,179,35.21656,-80.93127,2025-04-12 11:38:46+00:00,1
2557549,73,35.21656,-80.93127,2025-04-12 11:38:47+00:00,1
2557549,231,35.21656,-80.93127,2025-04-12 11:38:48+00:00,1
2557549,138,35.21656,-80.93127,2025-04-12 11:38:49+00:00,1
2557549,28,35.21656,-80.93127,2025-04-12 11:38:50+00:00,1
2557549,177,35.21656,-80.93127,2025-04-12 11:38:51+00:00,1
2557549,71,35.21656,-80.93127,2025-04-12 11:38:52+00:00,1
2557549,218,35.21656,-80.93127,2025-04-12 11:38:53+00:00,1
2557549,131,35.21656,-80.93127,2025-04-12 11:38:54+00:00,1
2557549,25,35.21656,-80.93127,2025-04-12 11:38:55+00:00,1
2557549,207,35.21656,-80.93127,2025-04-12 11:54:39+00:00,1
2557549,78,35.21656,-80.93127,2025-04-12 11:54:40+00:00,1
2557549,213,35.21656,-80.93127,2025-04-12 11:54:41+00:00,1
2557549,90,35.21656,-80.93127,2025-04-12 11:54:42+00:00,1
2557549,224,35.21656,-80.93127,2025-04-12 11:54:43+00:00,1
2557549,98,35.21656,-80.93127,2025-04-12 11:54:44+00:00,1
2557549,229,35.21656,-80.93127,2025-04-12 11:54:45+00:00,1
2557549,107,35.21656,-80.93127,2025-04-12 11:54:46+00:00,1
2557549,237,35.21656,-80.93127,2025-04-12 11:54:47+00:00,1
2557549,114,35.21656,-80.93127,2025-04-12 11:54:48+00:00,1
2557549,241,35.21656,-80.93127,2025-04-12 11:54:49+00:00,1
2557549,115,35.21656,-80.93127,2025-04-12 11:54:50+00:00,1
2557549,246,35.21656,-80.93127,2025-04-12 11:54:51+00:00,1
2582176,9,35.21694,-80.92996,2025-04-12 11:10:45+00:00,1
2582176,116,35.21695,-80.92996,2025-04-12 11:10:46+00:00,1
2582176,223,35.21695,-80.92996,2025-04-12 11:10:47+00:00,1
2582176,73,35.21695,-80.92996,2025-04-12 11:10:48+00:00,1
2582176,177,35.21695,-80.92996,2025-04-12 11:10:49+00:00,1
2582176,27,35.21695,-80.92996,2025-04-12 11:10:50+00:00,1
2582176,129,35.21695,-80.92996,2025-04-12 11:10:51+00:00,1
2582176,235,35.21695,-80.92996,2025-04-12 11:10:52+00:00,1
2582176,87,35.21695,-80.92996,2025-04-12 11:10:53+00:00,1
2582176,192,35.21695,-80.92996,2025-04-12 11:10:54+00:00,1
2582176,46,35.21695,-80.92996,2025-04-12 11:10:55+00:00,1
2582176,157,35.21695,-80.92996,2025-04-12 11:10:56+00:00,1
2582176,8,35.21695,-80.92996,2025-04-12 11:10:57+00:00,1
2582176,49,35.21694,-80.92996,2025-04-12 11:25:50+00:00,1
2582176,182,35.21694,-80.92996,2025-04-12 11:25:51+00:00,1
2582176,55,35.21694,-80.92996,2025-04-12 11:25:52+00:00,1
